timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length
20:18:32,192.168.68.103,192.168.56.101,TCP,13275,1514,66
20:18:32,192.168.68.103,35.190.80.1,TCP,13248,443,55
20:18:32,35.190.80.1,192.168.68.103,TCP,443,13248,70
20:18:32,192.168.68.103,172.64.155.209,TCP,7531,443,55
20:18:32,172.64.155.209,192.168.68.103,TCP,443,7531,70
20:18:32,192.168.68.103,13.69.239.73,TCP,53478,443,54
20:18:32,192.168.68.1,239.255.255.250,UDP,51516,1900,431
20:18:32,192.168.68.1,239.255.255.250,UDP,51516,1900,440
20:18:32,192.168.68.1,239.255.255.250,UDP,51516,1900,479
20:18:32,192.168.68.1,239.255.255.250,UDP,51516,1900,493
20:18:32,192.168.68.1,239.255.255.250,UDP,51516,1900,495
20:18:32,192.168.68.1,239.255.255.250,UDP,51516,1900,495
20:18:32,,,OTHER,,,473
20:18:32,,,OTHER,,,482
20:18:32,,,OTHER,,,545
20:18:32,,,OTHER,,,541
20:18:32,,,OTHER,,,521
20:18:32,,,OTHER,,,553
20:18:32,,,OTHER,,,535
20:18:32,,,OTHER,,,537
20:18:32,,,OTHER,,,537
20:18:32,13.69.239.73,192.168.68.103,TCP,443,53478,54
20:18:32,13.69.239.73,192.168.68.103,TCP,443,53478,54
20:18:32,192.168.68.103,13.69.239.73,TCP,53478,443,54
20:18:32,192.168.68.105,239.255.255.250,UDP,54964,15600,77
20:18:32,,,OTHER,,,54
20:18:32,192.168.68.103,57.144.125.33,TCP,40283,443,79
20:18:32,57.144.125.33,192.168.68.103,TCP,443,40283,54
20:18:32,192.168.68.103,192.168.68.105,TCP,31676,8009,171
20:18:32,192.168.68.105,192.168.68.103,TCP,8009,31676,171
20:18:32,192.168.68.103,192.168.68.105,TCP,31676,8009,54
20:18:32,192.168.68.1,192.168.68.100,ARP,,,60
20:18:32,,,OTHER,,,54
20:18:32,192.168.68.105,192.168.68.255,UDP,37911,15600,77
20:18:32,192.168.68.103,142.251.43.142,UDP,62914,443,990
20:18:32,142.251.43.142,192.168.68.103,UDP,443,62914,75
20:18:32,192.168.68.103,142.251.43.142,UDP,62914,443,75
20:18:32,142.251.43.142,192.168.68.103,UDP,443,62914,114
20:18:32,142.251.43.142,192.168.68.103,UDP,443,62914,68
20:18:32,192.168.68.103,142.251.43.142,UDP,62914,443,79
