timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length
20:11:52,192.168.68.103,192.168.68.105,TCP,31676,8009,171
20:11:52,192.168.68.105,192.168.68.103,TCP,8009,31676,171
20:11:52,192.168.68.103,192.168.68.105,TCP,31676,8009,54
20:11:52,104.18.39.21,192.168.68.103,TCP,443,49668,82
20:11:52,192.168.68.103,104.18.39.21,TCP,49668,443,82
20:11:52,104.18.39.21,192.168.68.103,TCP,443,49668,58
20:11:52,192.168.68.103,172.64.155.209,TCP,7531,443,55
20:11:52,172.64.155.209,192.168.68.103,TCP,443,7531,70
20:11:52,192.168.68.103,192.168.68.105,TCP,31676,8009,224
20:11:52,192.168.68.105,192.168.68.103,TCP,8009,31676,251
20:11:52,192.168.68.103,192.168.68.105,TCP,31676,8009,54
20:11:52,192.168.68.103,192.168.56.101,TCP,20507,1514,66
20:11:52,192.168.68.103,192.168.68.105,TCP,31676,8009,171
20:11:52,192.168.68.105,192.168.68.103,TCP,8009,31676,171
20:11:52,192.168.68.103,192.168.68.105,TCP,31676,8009,54
20:11:52,192.168.68.103,192.168.56.101,TCP,20507,1514,66
20:11:52,192.168.68.103,192.168.56.101,TCP,20507,1514,66
20:11:52,192.168.68.103,142.251.43.46,TCP,39906,443,54
20:11:52,192.168.68.103,142.250.183.138,TCP,20504,443,54
20:11:52,192.168.68.103,15.207.144.132,TCP,14203,443,66
