timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length
18:36:46,192.168.68.103,172.217.24.134,TCP,18239,443,55
18:36:46,172.217.24.134,192.168.68.103,TCP,443,18239,58
18:36:46,57.144.215.33,192.168.68.103,TCP,443,52308,268
18:36:46,192.168.68.103,57.144.215.33,TCP,52308,443,117
18:36:46,57.144.215.33,192.168.68.103,TCP,443,52308,244
18:36:46,192.168.68.103,57.144.215.33,TCP,52308,443,104
18:36:46,57.144.215.33,192.168.68.103,TCP,443,52308,54
18:36:46,192.168.68.103,104.18.39.21,TCP,45781,443,145
18:36:46,104.18.39.21,192.168.68.103,TCP,443,45781,58
18:36:46,57.144.215.33,192.168.68.103,TCP,443,52308,267
18:36:46,192.168.68.103,57.144.215.33,TCP,52308,443,117
18:36:46,57.144.215.33,192.168.68.103,TCP,443,52308,243
18:36:46,104.18.39.21,192.168.68.103,TCP,443,45781,143
18:36:46,192.168.68.103,57.144.215.33,TCP,52308,443,104
18:36:46,192.168.68.103,104.18.39.21,TCP,45781,443,54
18:36:46,57.144.215.33,192.168.68.103,TCP,443,52308,54
18:36:46,192.168.68.103,104.18.39.21,TCP,45781,443,145
18:36:46,104.18.39.21,192.168.68.103,TCP,443,45781,58
18:36:46,104.18.39.21,192.168.68.103,TCP,443,45781,143
18:36:46,192.168.68.103,104.18.39.21,TCP,45781,443,54
