timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length
20:25:52,192.168.68.103,172.64.155.209,TCP,14686,443,1454
20:25:52,192.168.68.103,172.64.155.209,TCP,14686,443,1454
20:25:52,192.168.68.103,172.64.155.209,TCP,14686,443,1454
20:25:52,192.168.68.103,172.64.155.209,TCP,14686,443,1454
20:25:52,192.168.68.103,172.64.155.209,TCP,14686,443,460
20:25:52,192.168.68.103,172.64.155.209,TCP,14686,443,93
20:25:52,192.168.68.103,172.64.155.209,TCP,14686,443,378
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,58
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,58
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,58
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,58
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,58
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,58
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,58
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,97
20:25:52,192.168.68.103,172.64.155.209,TCP,14686,443,54
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,395
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,105
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,89
20:25:52,192.168.68.103,172.64.155.209,TCP,14686,443,54
20:25:52,192.168.68.103,172.64.155.209,TCP,14686,443,89
20:25:52,172.64.155.209,192.168.68.103,TCP,443,14686,58
20:25:52,192.168.68.103,142.251.10.188,TCP,63532,5228,55
20:25:52,142.251.10.188,192.168.68.103,TCP,5228,63532,70
20:25:52,192.168.68.103,192.168.56.101,TCP,13572,1514,66
20:25:52,192.168.68.105,239.255.255.250,UDP,43150,15600,77
20:25:52,192.168.68.103,192.168.68.105,TCP,31676,8009,171
20:25:52,192.168.68.105,192.168.68.103,TCP,8009,31676,171
20:25:52,192.168.68.103,192.168.68.105,TCP,31676,8009,54
20:25:52,192.168.68.103,142.251.221.163,UDP,64642,443,149
20:25:52,192.168.68.103,142.251.221.163,UDP,64642,443,149
20:25:52,142.251.221.163,192.168.68.103,UDP,443,64642,75
20:25:52,142.251.221.163,192.168.68.103,UDP,443,64642,161
20:25:52,192.168.68.103,142.251.221.163,UDP,64642,443,77
20:25:52,142.251.221.163,192.168.68.103,UDP,443,64642,70
20:25:52,,,OTHER,,,78
20:25:52,192.168.68.105,192.168.68.255,UDP,48042,15600,77
20:25:52,192.168.68.1,192.168.68.105,ARP,,,60
20:25:52,192.168.68.105,239.255.255.250,UDP,49062,15600,77
20:25:52,192.168.68.103,192.168.68.105,TCP,31676,8009,171
