timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length
18:32:41,51.105.71.136,192.168.68.103,TCP,443,24571,54
18:32:41,51.105.71.136,192.168.68.103,TCP,443,24571,157
18:32:41,192.168.68.103,51.105.71.136,TCP,24571,443,54
18:32:41,51.105.71.136,192.168.68.103,TCP,443,24571,520
18:32:41,192.168.68.103,51.105.71.136,TCP,24571,443,54
18:32:41,192.168.68.103,51.105.71.136,TCP,24571,443,78
18:32:41,192.168.68.103,51.105.71.136,TCP,24571,443,54
18:32:41,51.105.71.136,192.168.68.103,TCP,443,24571,54
18:32:41,192.168.68.1,192.168.68.105,ARP,,,42
18:32:41,192.168.68.103,192.168.56.101,TCP,24568,1514,66
18:32:41,192.168.68.1,192.168.68.105,ARP,,,42
18:32:41,192.168.68.1,192.168.68.105,ARP,,,42
18:32:41,192.168.68.1,224.0.0.1,IP,,,50
18:32:41,,,OTHER,,,90
18:32:41,192.168.68.103,224.0.0.22,IP,,,54
18:32:41,192.168.68.1,192.168.68.105,ARP,,,42
18:32:41,,,OTHER,,,78
18:32:41,192.168.68.103,224.0.0.22,IP,,,54
18:32:41,192.168.68.103,104.18.32.47,TCP,10577,443,1454
18:32:41,192.168.68.103,104.18.32.47,TCP,10577,443,1454
18:32:41,192.168.68.103,104.18.32.47,TCP,10577,443,1454
18:32:41,192.168.68.103,104.18.32.47,TCP,10577,443,1454
18:32:41,192.168.68.103,104.18.32.47,TCP,10577,443,478
18:32:41,192.168.68.103,104.18.32.47,TCP,10577,443,93
18:32:41,192.168.68.103,104.18.32.47,TCP,10577,443,343
18:32:41,104.18.32.47,192.168.68.103,TCP,443,10577,58
18:32:41,104.18.32.47,192.168.68.103,TCP,443,10577,58
18:32:41,104.18.32.47,192.168.68.103,TCP,443,10577,58
18:32:41,104.18.32.47,192.168.68.103,TCP,443,10577,58
18:32:41,104.18.32.47,192.168.68.103,TCP,443,10577,58
